idid;nev;megye;jaras;kisterseg;nepesseg;terulet;iranyitoszam;miota_varos;tipus
140;Kecel;Bács-Kiskun;Kiskőrösi;Kiskőrösi;8 376;114,48;6237;1993;város
141;Kecskemét;Bács-Kiskun;Kecskeméti;Kecskeméti;110 687;322,57;6000;1500;megyeszékhely megyei jogú város
142;Kemecse;Szabolcs-Szatmár-Bereg;Kemecsei;Ibrány-Nagyhalászi;4 777;38,94;4501;2005;járásszékhely város
143;Kenderes;Jász-Nagykun-Szolnok;Karcagi;Karcagi;4 220;111,24;5331;2004;város
144;Kerekegyháza;Bács-Kiskun;Kecskeméti;Kecskeméti;6 563;81,28;6041;2001;város
145;Kerepes;Pest;Gödöllői;Gödöllői;10 173;24,08;2144;2013;város
146;Keszthely;Zala;Keszthelyi;Keszthelyi;19 289;75,98;8360;1954;járásszékhely város
147;Kisbér;Komárom-Esztergom;Kisbéri;Kisbéri;5 359;52,17;2870;1986;járásszékhely város
148;Kisköre;Heves;Hevesi;Hevesi;2 810;68,42;3384;2005;város
149;Kiskőrös;Bács-Kiskun;Kiskőrösi;Kiskőrösi;13 746;102,23;6200;1973;járásszékhely város
150;Kiskunfélegyháza;Bács-Kiskun;Kiskunfélegyházi;Kiskunfélegyházi;29 306;256,3;6100;1500;járásszékhely város
151;Kiskunhalas;Bács-Kiskun;Kiskunhalasi;Kiskunhalasi;27 017;227,58;6400;1500;járásszékhely város
152;Kiskunmajsa;Bács-Kiskun;Kiskunmajsai;Kiskunmajsai;10 843;222,27;6120;1989;járásszékhely város
153;Kistarcsa;Pest;Gödöllői;Gödöllői;13 041;11,02;2143;2005;város
154;Kistelek;Csongrád-Csanád;Kisteleki;Kisteleki;6 990;69,19;6760;1989;járásszékhely város
155;Kisújszállás;Jász-Nagykun-Szolnok;Karcagi;Karcagi;10 750;205,27;5310;1500;város
156;Kisvárda;Szabolcs-Szatmár-Bereg;Kisvárdai;Kisvárdai;15 863;35,9;4600;1970;járásszékhely város
157;Komádi;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalui;5 078;144,65;4138;2001;város
158;Komárom;Komárom-Esztergom;Komáromi;Komáromi;19 126;69,91;2900;1500;járásszékhely város
159;Komló;Baranya;Komlói;Komlói;22 635;46,55;7300;1951;járásszékhely város
160;Kondoros;Békés;Szarvasi;Szarvasi;4 741;81,84;5553;2013;város
161;Kozármisleny;Baranya;Pécsi;Pécsi;6 215;14,45;7761;2007;város
162;Körmend;Vas;Körmendi;Körmendi;11 179;52,79;9900;1978;járásszékhely város
163;Körösladány;Békés;Szeghalmi;Szeghalomi;4 281;123,79;5516;2007;város
164;Kőszeg;Vas;Kőszegi;Kőszegi;11 865;54,66;9730;1500;járásszékhely város
165;Kunhegyes;Jász-Nagykun-Szolnok;Kunhegyesi;Tiszafüredi;7 383;148,93;5340;1989;járásszékhely város
166;Kunszentmárton;Jász-Nagykun-Szolnok;Kunszentmártoni;Kunszentmártoni;7 976;143,65;5440;1986;járásszékhely város
167;Kunszentmiklós;Bács-Kiskun;Kunszentmiklósi;Kunszentmiklósi;8 191;172,11;6090;1989;járásszékhely város
168;Lábatlan;Komárom-Esztergom;Esztergomi;Esztergomi;4 849;26,37;2541;2004;város
169;Lajosmizse;Bács-Kiskun;Kecskeméti;Kecskeméti;11 317;164,66;6050;1993;város
170;Lébény;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvári;3 355;81,39;9155;2013;város
171;Lengyeltóti;Somogy;Fonyódi;Lengyeltóti;2 812;39,57;8693;1992;város
172;Lenti;Zala;Lenti;Lenti;7 348;73,79;8960;1978;járásszékhely város
173;Létavértes;Hajdú-Bihar;Derecskei;Derecske-Létavértesi;7 061;116,61;4281;1996;város
174;Letenye;Zala;Letenyei;Letenyei;3 937;41,74;8868;1989;járásszékhely város
175;Lőrinci;Heves;Hatvani;Hatvani;5 408;23,53;3021;1992;város
176;Maglód;Pest;Vecsési;Monori;12 463;22,38;2234;2007;város
177;Mágocs;Baranya;Hegyháti;Sásdi;2 191;42,54;7342;2009;város
178;Makó;Csongrád-Csanád;Makói;Makói;22 390;229,23;6900;1500;járásszékhely város
179;Mándok;Szabolcs-Szatmár-Bereg;Záhonyi;Záhonyi;3 953;28,91;4644;2007;város
180;Marcali;Somogy;Marcali;Marcali;11 142;104,4;8700;1977;járásszékhely város
181;Máriapócs;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátori;2 046;22,09;4326;1993;város
182;Martfű;Jász-Nagykun-Szolnok;Szolnoki;Szolnoki;6 030;23,08;5435;1989;város
183;Martonvásár;Fejér;Martonvásári;Martonvásári;5 688;31,25;2462;2005;járásszékhely város
184;Mátészalka;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalkai;16 387;41,4;4700;1969;járásszékhely város
185;Medgyesegyháza;Békés;Mezőkovácsházi;Mezőkovácsházi;3 451;64,29;5666;2009;város
186;Mélykút;Bács-Kiskun;Jánoshalmai;Jánoshalmai;4 686;123,47;6449;2009;város
187;Mezőberény;Békés;Békési;Békési;9 809;118,53;5650;1989;város
188;Mezőcsát;Borsod-Abaúj-Zemplén;Mezőcsáti;Mezőcsáti;5 656;103,09;3450;1991;járásszékhely város
189;Mezőhegyes;Békés;Mezőkovácsházi;Mezőkovácsházi;4 945;155,44;5820;1989;város
190;Mezőkeresztes;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesdi;3 565;74,26;3441;2009;város
191;Mezőkovácsháza;Békés;Mezőkovácsházi;Mezőkovácsházi;5 787;62,59;5800;1986;járásszékhely város
192;Mezőkövesd;Borsod-Abaúj-Zemplén;Mezőkövesdi;Mezőkövesdi;16 072;100,49;3400;1973;járásszékhely város
193;Mezőtúr;Jász-Nagykun-Szolnok;Mezőtúri;Mezőtúri;16 011;289,72;5400;1500;járásszékhely város
194;Mindszent;Csongrád-Csanád;Hódmezővásárhelyi;Hódmezővásárhelyi;6 401;59,35;6630;1993;város
195;Miskolc;Borsod-Abaúj-Zemplén;Miskolci;Miskolci;154 521;236,67;3500;1500;megyeszékhely megyei jogú város
196;Mohács;Baranya;Mohácsi;Mohácsi;17 089;112,23;7700;1924;járásszékhely város
197;Monor;Pest;Monori;Monori;18 113;46,79;2200;1989;járásszékhely város
198;Mór;Fejér;Móri;Móri;13 885;108,61;8060;1984;járásszékhely város
199;Mórahalom;Csongrád-Csanád;Mórahalmi;Mórahalomi;6 203;83,14;6782;1989;járásszékhely város
200;Mosonmagyaróvár;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvári;33 954;83,78;9200;1921;járásszékhely város
201;Nádudvar;Hajdú-Bihar;Hajdúszoboszlói;Püspökladányi;8 472;225,91;4181;1989;város
202;Nagyatád;Somogy;Nagyatádi;Nagyatádi;10 014;70,6;7500;1971;járásszékhely város
203;Nagybajom;Somogy;Kaposvári;Kadarkúti;3 374;108,06;7561;2001;város
204;Nagyecsed;Szabolcs-Szatmár-Bereg;Mátészalkai;Mátészalkai;6 171;43,85;4355;1997;város
205;Nagyhalász;Szabolcs-Szatmár-Bereg;Ibrányi;Ibrány-Nagyhalászi;5 509;44,3;4485;1993;város
206;Nagykálló;Szabolcs-Szatmár-Bereg;Nagykállói;Nagykállói;9 176;68,52;4320;1989;járásszékhely város
207;Nagykanizsa;Zala;Nagykanizsai;Nagykanizsai;46 649;148,4;8800;1500;megyei jogú város
208;Nagykáta;Pest;Nagykátai;Nagykátai;12 366;81,61;2760;1989;járásszékhely város
209;Nagykőrös;Pest;Nagykőrösi;Ceglédi;23 517;227,94;2750;1500;járásszékhely város
210;Nagymányok;Tolna;Bonyhádi;Bonyhádi;2 207;10,68;7355;2009;város
211;Nagymaros;Pest;Szobi;Váci;4 905;34,37;2626;1996;város
212;Nyékládháza;Borsod-Abaúj-Zemplén;Miskolci;Miskolci;4 861;24,67;3433;2003;város
213;Nyergesújfalu;Komárom-Esztergom;Esztergomi;Esztergomi;7 292;39,63;2536;1989;város
214;Nyíradony;Hajdú-Bihar;Nyíradonyi;Hajdúhadházi;7 605;96,56;4254;1992;járásszékhely város
215;Nyírbátor;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátori;11 715;66,74;4300;1973;járásszékhely város
216;Nyíregyháza;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyházi;116 799;274,54;4400;1500;megyeszékhely megyei jogú város
217;Nyírlugos;Szabolcs-Szatmár-Bereg;Nyírbátori;Nyírbátori;2 566;58,38;4371;2005;város
